driver,q1,q2,q3
Valtteri Bottas,1:31.226,1:30.709,NA
Yuki Tsunoda,1:31.130,1:30.808,NA
Guanyu Zhou,1:30.894,1:30.953,NA
Mick Schumacher,1:31.152,1:31.439,NA
Alexander Albon,1:31.311,NA,NA
Pierre Gasly,1:31.322,NA,NA
Kevin Magnussen,1:31.352,NA,NA
Lance Stroll,1:31.419,NA,NA
Nicholas Latifi,1:31.511,NA,NA
Carlos Sainz,1:35.297,1:35.590,1:34.356
Charles Leclerc,1:35.795,1:35.246,1:34.421
Max Verstappen,1:35.864,1:35.294,1:34.448
Sergio Perez,1:36.163,1:35.864,1:34.645
Lewis Hamilton,1:36.148,1:35.732,1:34.947
George Russell,1:36.195,1:35.692,1:34.988
Lance Stroll,1:36.860,1:36.032,1:35.598
Lando Norris,1:36.465,1:36.341,1:35.690
Fernando Alonso,1:36.446,1:35.988,1:35.876
Valtteri Bottas,1:36.746,1:36.321,1:36.319
Alexander Albon,1:36.922,1:36.368,NA
Sebastian Vettel,1:36.995,1:36.398,NA
Pierre Gasly,1:36.577,1:36.740,NA
Guanyu Zhou,1:36.656,1:36.970,NA
Yuki Tsunoda,1:36.808,1:37.147,NA
Kevin Magnussen,1:36.949,NA,NA
Daniel Ricciardo,1:37.046,NA,NA
Esteban Ocon,1:37.068,NA,NA
Mick Schumacher,1:37.111,NA,NA
Nicholas Latifi,1:37.244,NA,NA
Max Verstappen,1:19.222,1:18.566,1:17.775
George Russell,1:19.583,1:18.565,1:18.079
Lewis Hamilton,1:19.169,1:18.552,1:18.084
Sergio Perez,1:19.706,1:18.615,1:18.128
Carlos Sainz,1:19.566,1:18.560,1:18.351
Valtteri Bottas,1:19.523,1:18.762,1:18.401
Charles Leclerc,1:19.505,1:19.109,1:18.555
Lando Norris,1:19.857,1:19.119,1:18.721
Fernando Alonso,1:20.006,1:19.272,1:18.939
Esteban Ocon,1:19.945,1:19.081,1:19.010
Daniel Ricciardo,1:20.279,1:19.325,NA
Guanyu Zhou,1:20.283,1:19.476,NA
Yuki Tsunoda,1:19.907,1:19.589,NA
Pierre Gasly,1:20.256,1:19.672,NA
Kevin Magnussen,1:20.293,1:19.833,NA
Mick Schumacher,1:20.419,NA,NA
Sebastian Vettel,1:20.419,NA,NA
Lance Stroll,1:20.520,NA,NA
Alexander Albon,1:20.859,NA,NA
Nicholas Latifi,1:21.167,NA,NA
Kevin Magnussen,1:13.954,1:11.410,1:11.674
Max Verstappen,1:13.625,1:10.881,1:11.877
George Russell,1:14.427,1:11.318,1:12.059
Lando Norris,1:13.106,1:11.377,1:12.263
Carlos Sainz,1:14:680,1:10.890,1:12.357
Esteban Ocon,1:14.663,1:11.587,1:12.425
Fernando Alonso,1:13.542,1:11.394,1:12.504
Lewis Hamilton,1:13.403,1:11.539,1:12.611
Sergio Perez,1:13.613,1:11.456,1:15.601
Charles Leclerc,1:14.486,1:10.950,DNF
Alexander Albon,1:14.324,1:11.631,NA
Pierre Gasly,1:14.371,1:11.675,NA
Sebastian Vettel,1:13.597,1:11.678,NA
Daniel Ricciardo,1:14.931,1:12.140,NA
Lance Stroll,1:14.398,1:12.210,NA
Nicholas Latifi,1:15.095,NA,NA
Guanyu Zhou,1:15.197,NA,NA
Valtteri Bottas,1:15.486,NA,NA
Yuki Tsunoda,1:16.264,NA,NA
Mick Schumacher,1:16.361,NA,NA
Max Verstappen,1:24.754,1:24.622,1:23.824
Sergio Perez,1:24.820,1:24.419,1:24.052
Charles Leclerc,1:25.211,1:24.517,1:24.092
Carlos Sainz,1:25.090,1:24.521,1:24.242
Lewis Hamilton,1:25.594,1:24.774,1:24.508
George Russell,1:25.545,1:24.940,1:24.511
Lando Norris,1:25.387,1:24.903,1:24.769
Esteban Ocon,1:25.735,1:25.007,1:24.830
Sebastian Vettel,1:25.523,1:24.974,1:24.961
Daniel Ricciardo,1:25.766,1:25.068,1:25.045
Fernando Alonso,1:25.782,1:25.096,NA
Yuki Tsunoda,1:25.630,1:25.219,NA
Mick Schumacher,1:25.711,1:25.225,NA
Lance Stroll,1:25.741,1:25.359,NA
Guanyu Zhou,1:25.594,1:25.408,NA
Kevin Magnussen,1:25.834,NA,NA
Pierre Gasly,1:25.859,NA,NA
Valtteri Bottas,1:25.892,NA,NA
Alexander Albon,1:26.028,NA,NA
Nicholas Latifi,1:26.054,NA,NA
